School,Status,URL,Address
양산중앙중학교,Sent,https://youtu.be/h7WucbrnKx8,경상남도 양산시 양주로 21 (남부동)
청양고등학교,Sent,https://youtu.be/yZPfDlU8J8U,충청남도 청양군 청양읍 문화예술로 149
주문진고등학교,Sent,https://youtu.be/t-8AmH5ieco,강원특별자치도 강릉시 주문진읍 학교길 28
소하중학교,Sent,https://youtu.be/z3ouMfUS39A,경기도 광명시 소하일로 31 (소하동)
양덕중학교,Sent,https://youtu.be/orQcAHoU38M,경상북도 포항시 북구 장량로241번길 22 (양덕동)
구포중학교,Sent,https://youtu.be/dAuTFcLvsms,부산광역시 북구 백양대로1016번다길 31 (구포동)
경북고등학교,Sent,https://youtu.be/2wD8qi_fN3k,대구광역시 수성구 청호로 300 (황금동)
옥련중학교,Sent,https://youtu.be/wWt5zU_DaCE,인천광역시 연수구 청량로 222 (옥련동)
연서중학교,Sent,https://youtu.be/eqxdf7WA6Lk,서울특별시 은평구 증산서길 125-6 (증산동)
낙원중학교,Sent,https://youtu.be/7D9yiardEWY,경기도 성남시 분당구 서판교로132번길 11 (판교동)
무학중학교,Sent,https://youtu.be/Z2A-aPuBzA0,서울특별시 성동구 행당로 120 (행당동)
광일중학교,Sent,https://youtu.be/f8G1VFX8u_s,경기도 광주시 도척면 노곡로 32 (도척면)
금촌중학교,Done,https://youtu.be/5I0F0QNguxc,경기도 파주시 쇠재1길 21 (금릉동)
연세대학교,Sent,https://youtu.be/9Y8It0jMwBw,서울특별시 서대문구 연세로 50 (신촌동)
연풍중학교,Sent,https://youtu.be/etevvHUN_z4,충청북도 괴산군 연풍면 향교로 55
광진중학교,Sent,https://youtu.be/-EREGUC5BmI,서울특별시 광진구 뚝섬로64길 45 (자양동)
연성중학교,Sent,https://youtu.be/8bzYloh8KPE,경기도 시흥시 하상로 14-7 (하상동)
덕암중학교,Sent,https://youtu.be/gbL39mLFRaA,전북특별자치도 김제시 하공로 9 (서암동)
금일초등학교,Sent,https://youtu.be/6oY5FKKmgMs,전라남도 완도군 금일읍 구동2길 38
백석중학교,Sent,https://youtu.be/MkE_1P4ZYSA,경기도 고양시 일산동구 호수로 404 (백석동)
김해외국어고등학교,Sent,https://youtu.be/lymiyNANbMQ,경상남도 김해시 율하로 266 (율하동)
동해중학교,Done,https://youtu.be/ZoG3Thym7C8,부산광역시 동래구 시실로 19-39 (명륜동)
부여고등학교,Sent,https://youtu.be/vpKqduCGv5Y,충청남도 부여군 부여읍 금성로91번길 3
삼척중학교,Sent,https://youtu.be/fIV0I_Ue5dA,강원특별자치도 삼척시 회강길 627 (자원동)
석동중학교,Sent,https://youtu.be/WmvmoaEtweQ,경상남도 창원시 진해구 석동로 40 (석동)
소담고등학교,Sent,https://youtu.be/z8ESpgb63Mw,세종특별자치시 남세종로 326 (소담동)
소주한국학교,Sent,https://youtu.be/xF1z-FqHvZ0,
양청중학교,Sent,https://youtu.be/mZraUBJNN_k,충청북도 청주시 청원구 오창읍 양청택지3길 5
언동중학교,Sent,https://youtu.be/JrezopM1rSE,경기도 용인시 기흥구 언남로 41 (언남동)
서연고등학교,Sent,https://youtu.be/umL6uyLdsPs,경기도 화성시 동탄대로4가길 6 (장지동)
불암중학교,Sent,https://youtu.be/U5bAp0TJ_7I,서울특별시 노원구 한글비석로5길 45 (하계동)
천안성성중학교,Sent,https://youtu.be/L-WpP3vq1QY,충청남도 천안시 서북구 부성1길 83 (두정동)
서울도시과학기술고등학교,Sent,https://youtu.be/INUzeRqkpIw,서울특별시 성북구 종암로 196 (하월곡동)
부천남중학교,Sent,https://youtu.be/YegfO4SIALk,경기도 부천시 소사구 성주로 148 (송내동)
경북체육고등학교,Sent,https://youtu.be/xfQbDYl1SKE,경상북도 경산시 경안로 43 (신교동)
매성중학교,Sent,https://youtu.be/s41LVpQrAck,전라남도 나주시 쌍산1길 19 (빛가람동)
서울체육고등학교,Sent,https://youtu.be/0US-VVeNcP4,서울특별시 송파구 강동대로 232 (방이동)
정관중학교,Sent,https://youtu.be/4UmxPeqEPXU,부산광역시 기장군 정관읍 정관로 531
온곡중학교,Sent,https://youtu.be/Ej3qRq0XwbU,서울특별시 노원구 노원로 492 (상계동)
대구중앙중학교,Sent,https://youtu.be/B7xrN7jAKCE,대구광역시 수성구 신천동로 496 (수성동4가)
향남고등학교,Sent,https://youtu.be/LYJD4xlBgXg,경기도 화성시 향남읍 행정동로 49
이충중학교,Sent,https://youtu.be/1GqQn92Bmjw,경기도 평택시 이충로35번길 5 (이충동)
덕양중학교,Sent,https://youtu.be/tz8onUhPxkk,경기도 고양시 덕양구 중앙로176번길 18-29 (화전동)
송운중학교,Sent,https://youtu.be/qmEzrqkvIqQ,경기도 시흥시 옥구천동로 433-11 (정왕동)
경명여자고등학교,Sent,https://youtu.be/EmtcGikRJXA,대구광역시 북구 칠성로17길 18 (칠성동2가)
잠원초등학교,Sent,https://youtu.be/9fSPWJuSc3Q,경기도 수원시 영통구 태장로54번길 11 (망포동)
대덕중학교,Sent,https://youtu.be/3lPJ-y_i6NU,대전광역시 유성구 대덕대로 515 (가정동)
대전가양중학교,Sent,https://youtu.be/pIzrfbAIz2Y,대전광역시 동구 비래서로62번길 100 (가양동)
덕이중학교,Sent,https://youtu.be/huGINLbtCyM,경기도 고양시 일산서구 하이파크3로 10 (덕이동)
중계중학교,Sent,https://youtu.be/npZxHc-DDPU,서울특별시 노원구 덕릉로76길 23 (중계동)
초월중학교,Sent,https://youtu.be/e-5SjV72mLg,경기도 광주시 초월읍 도곡길21번길 28
부곡중앙중학교,Sent,https://youtu.be/JlxA2I8dhug,경기도 군포시 송부로 241 (부곡동)
하노이한국국제학교,Sent,https://youtu.be/b-uEVdyfKxw,
다문초등학교,Sent,https://youtu.be/b-uEVdyfKxw,경기도 양평군 용문면 다문중앙2길 27
신정중학교,Sent,https://youtu.be/cv0hoC90L3Y,울산광역시 남구 은월로 11 (옥동)
가경중학교,Sent,https://youtu.be/GBMXiGjGlXw,충청북도 청주시 흥덕구 장구봉로 113 (복대동)
대성고등학교,Sent,https://youtu.be/ajjNKBNkxDg,서울특별시 은평구 갈현로29길 51-24 (갈현동)
빛가람중학교,Sent,https://youtu.be/k8jH5anpxd4,전라남도 나주시 월정5길 12 (빛가람동)
사우고등학교,Sent,https://www.youtube.com/watch?v=Au1O1KRKfrc,경기도 김포시 김포대로 824 (사우동)
장유중학교,Sent,https://youtu.be/ftQKDhUFnyM,경상남도 김해시 장유로 420 (신문동)
금릉중학교,Sent,https://youtu.be/liNBRsm2r3k,경기도 파주시 후곡로 66 (금촌동)
명지중학교,Sent,https://youtu.be/-4MbHDuwFuM,서울특별시 서대문구 명지2길 56 (홍은동)
다대고등학교,Sent,https://youtu.be/BbSlPRPFe3U,부산광역시 사하구 다대낙조2길 199 (다대동)
경기창조고등학교,Sent,https://youtu.be/Ul5wdriq7bI,경기도 안성시 공도읍 공도5로 37
하슬라중학교,Sent,https://youtu.be/pgE3LvbXltQ,강원특별자치도 강릉시 보래미길 9 (포남동)
감계중학교,Sent,https://youtu.be/qwQj413tTTk,경상남도 창원시 의창구 북면 감계로 220
비산중학교,Sent,https://youtu.be/rNOOSO4b9l8,경기도 안양시 동안구 평촌대로427번길 42 (비산동)
율현중학교,Sent,https://youtu.be/-9jxK4LGSHM,경기도 수원시 팔달구 일월로22번길 60 (화서동)
경기물류고등학교,Pending,,경기도 평택시 안중읍 안현로 403
계남중학교,Pending,,경기도 부천시 원미구 조마루로 274 (중동)
창원남중학교,Pending,,경상남도 창원시 성산구 창원대로 813 (외동)
일산양일중학교,Pending,,경기도 고양시 일산동구 위시티3로 47 (식사동)
군산중학교,Pending,,전북특별자치도 군산시 군중길 18 (송풍동)
범계중학교,Pending,,경기도 안양시 동안구 동안로 56 (호계동)
동국대학교사범대학부속영석고등학교,Pending,,경기도 의정부시 시민로 363 (용현동)
부흥고등학교,Pending,,경기도 안양시 동안구 달안로 15 (비산동)
낙원중학교,Pending,,경기도 성남시 분당구 서판교로132번길 11 (판교동)
신한고등학교,Pending,,경기도 평택시 신한1길 26 (비전동)
전주양현중학교,Pending,,전북특별자치도 전주시 덕진구 만성북4길 10 (만성동)
덕풍중학교,Pending,,경기도 하남시 덕풍북로71번길 10 (덕풍동)
장수중학교,Pending,,전북특별자치도 장수군 장수읍 호비로 68
심학중학교,Pending,,경기도 파주시 양지로 75 (동패동)
청원중학교,Pending,,서울특별시 노원구 한글비석로 506 (상계동)
세마고등학교,Pending,,경기도 오산시 수목원로 559-17 (세교동)
한바다중학교,Pending,,부산광역시 수영구 광안로21번가길 57 (광안동)
영광고등학교,Pending,,경상북도 영주시 의상로 62 (상망동)
운리중학교,Pending,,광주광역시 서구 풍암신흥로11번길 28 (풍암동)
과천중학교,Pending,,경기도 과천시 희망4길 33 (중앙동)
성화중학교,Pending,,대구광역시 북구 복현로 140 (복현동)
석우중학교,Pending,,경기도 화성시 동탄중앙로 264 (반송동)
석성중학교,Pending,,충청남도 부여군 석성면 증산로 7
남주고등학교,Pending,,제주특별자치도 서귀포시 동홍로303번길 14 (동홍동)
창원남고등학교,Pending,,경상남도 창원시 성산구 창원대로 813 (외동)
